ENST00000450305	DDX11L1
ENST00000465093	ARHGEF26
ENST00000496710	ARHGEF26
ENST00000465817	ARHGEF26
ENST00000496811	DHX36
ENST00000308361	DHX36
ENST00000329463	DHX36
ENST00000389740	GPR149
ENST00000463545	DDX50P2
ENST00000498604	AC092994.1
ENST00000473622	SYPL1P1
ENST00000467158	DYNLL1P5
ENST00000491096	RPL9P15
ENST00000478814	AC073359.2
ENST00000486545	AC073359.1
ENST00000492661	MME
ENST00000625667	MME
ENST00000460393	MME
ENST00000616757	MME
ENST00000382989	MME
ENST00000462745	MME
ENST00000493237	MME
ENST00000360490	MME
ENST00000615825	MME
ENST00000462531	LINC01487
ENST00000490497	LINC01487
ENST00000489090	DWORF
ENST00000470024	AC104831.1
ENST00000464731	PABPC1P10
ENST00000494598	PLCH1
ENST00000460012	PLCH1
ENST00000447496	PLCH1
ENST00000340059	PLCH1
ENST00000334686	PLCH1
ENST00000513484	AC108729.3
ENST00000476543	AC108729.2
ENST00000487812	AC108729.1
ENST00000488873	RPL6P7
ENST00000469035	AC104472.2
ENST00000340171	C3orf33
ENST00000534941	C3orf33
ENST00000392845	SLC33A1
ENST00000359479	SLC33A1
ENST00000496455	GMPS
ENST00000295920	GMPS
ENST00000497538	SETP14
ENST00000490337	KCNAB1
ENST00000389636	KCNAB1
ENST00000471742	KCNAB1
ENST00000618897	KCNAB1
ENST00000302490	KCNAB1
ENST00000389634	KCNAB1
ENST00000482834	ALG1L15P
ENST00000464884	MRE11P1
ENST00000490318	AC091607.1
ENST00000265044	SSR3
ENST00000467789	SSR3
ENST00000476217	SSR3
ENST00000463503	SSR3
ENST00000496050	SSR3
ENST00000486483	TIPARP
ENST00000295924	TIPARP
ENST00000461166	TIPARP
ENST00000542783	TIPARP
ENST00000481421	METTL15P1
ENST00000472943	LINC00886
ENST00000473864	PA2G4P4
ENST00000498839	LEKR1
ENST00000470811	LEKR1
ENST00000356539	LEKR1
ENST00000483177	LEKR1
ENST00000477399	LEKR1
ENST00000491763	LEKR1
ENST00000640869	LEKR1
ENST00000465138	KLF3P2
ENST00000487061	AC117392.1
ENST00000471357	LINC00880
ENST00000469196	LINC02029
ENST00000467995	LINC00881
ENST00000471719	LINC00881
ENST00000461804	CCNL1
ENST00000295926	CCNL1
ENST00000295925	CCNL1
ENST00000488218	KRT18P34
ENST00000605443	AC092944.2
ENST00000392833	VEPH1
ENST00000362010	VEPH1
ENST00000392832	VEPH1
ENST00000494677	VEPH1
ENST00000537559	VEPH1
ENST00000468233	VEPH1
ENST00000295927	PTX3
ENST00000312275	PQLC2L
ENST00000468043	PQLC2L
ENST00000459838	PQLC2L
ENST00000461040	PQLC2L
ENST00000449199	PQLC2L
ENST00000426338	PQLC2L
ENST00000491909	AC079943.1
ENST00000488999	AC079943.2
ENST00000441443	SHOX2
ENST00000425436	SHOX2
ENST00000389589	SHOX2
ENST00000483851	SHOX2
ENST00000480820	RSRC1
ENST00000611884	RSRC1
ENST00000295930	RSRC1
ENST00000464171	RSRC1
ENST00000312179	RSRC1
ENST00000475278	RSRC1
ENST00000486836	AC074276.1
ENST00000619891	AC074276.2
ENST00000484182	AC106707.2
ENST00000355893	MLF1
ENST00000618075	MLF1
ENST00000619577	MLF1
ENST00000484955	MLF1
ENST00000359117	MLF1
ENST00000471745	MLF1
ENST00000469452	MLF1
ENST00000482628	MLF1
ENST00000478894	MLF1
ENST00000392822	MLF1
ENST00000489154	MTAPP1
ENST00000463883	AC025033.1
ENST00000486715	GFM1
ENST00000478576	GFM1
ENST00000264263	GFM1
ENST00000264265	LXN
ENST00000607624	AC080013.4
ENST00000606185	AC080013.6
ENST00000237696	RARRES1
ENST00000479756	RARRES1
ENST00000415822	MFSD1
ENST00000622669	MFSD1
ENST00000392813	MFSD1
ENST00000264266	MFSD1
ENST00000460866	AC080013.2
ENST00000498175	GPR79
ENST00000476809	IQCJ-SCHIP1
ENST00000485419	IQCJ-SCHIP1
ENST00000638749	IQCJ-SCHIP1
ENST00000412423	IQCJ-SCHIP1
ENST00000527095	IQCJ-SCHIP1
ENST00000460298	IQCJ-SCHIP1
ENST00000397832	IQCJ
ENST00000451172	IQCJ
ENST00000482126	IQCJ
ENST00000583286	MIR3919
ENST00000462872	AC063955.1
ENST00000485389	AC092943.1
ENST00000579369	AC021654.1
ENST00000445224	SCHIP1
ENST00000482804	SCHIP1
ENST00000305579	IL12A
ENST00000480787	IL12A
ENST00000466512	IL12A
ENST00000471921	LINC01100
ENST00000466133	BRD7P2
ENST00000326474	C3orf80
ENST00000483754	AC079594.2
ENST00000326448	IFT80
ENST00000483465	IFT80
ENST00000496589	IFT80
ENST00000489757	AC079594.1
ENST00000357388	SMC4
ENST00000469762	SMC4
ENST00000462787	SMC4
ENST00000344722	SMC4
ENST00000385045	MIR15B
ENST00000362117	MIR16-2
ENST00000543469	TRIM59
ENST00000309784	TRIM59
ENST00000471720	B3GAT3P1
ENST00000334256	KPNA4
ENST00000472924	KRT8P12
ENST00000490136	RPL6P8
ENST00000320767	ARL14
ENST00000497343	PPM1L
ENST00000498165	PPM1L
ENST00000464260	PPM1L
ENST00000295839	PPM1L
ENST00000320474	B3GALNT1
ENST00000392779	B3GALNT1
ENST00000392781	B3GALNT1
ENST00000473285	B3GALNT1
ENST00000417187	B3GALNT1
ENST00000488170	B3GALNT1
ENST00000351193	NMD3
ENST00000472947	NMD3
ENST00000460469	NMD3
ENST00000603703	AC108738.1
ENST00000467631	EEF1GP4
ENST00000495689	PSMC1P7
ENST00000359175	SPTSSB
ENST00000497137	SPTSSB
ENST00000620149	SPTSSB
ENST00000617024	SPTSSB
ENST00000473595	LINC02067
ENST00000602890	AC112491.1
ENST00000471152	RPL23AP42
ENST00000327928	OTOL1
ENST00000497285	AC131211.1
ENST00000465035	TOMM22P6
ENST00000475129	AC128716.1
ENST00000490357	AC128685.1
ENST00000494693	RPS6P4
ENST00000470546	LINC01192
ENST00000492553	LINC01192
ENST00000489012	LINC01192
ENST00000477099	AC079910.1
ENST00000584623	AC104637.1
ENST00000584181	AC092962.1
ENST00000483240	AC084017.1
ENST00000408324	MIR1263
ENST00000408828	MIR720
ENST00000486767	LINC01323
ENST00000497379	LINC01324
ENST00000264382	SI
ENST00000472120	LINC02023
ENST00000475390	SLITRK3
ENST00000241274	SLITRK3
ENST00000494915	LINC01322
ENST00000496693	LINC01322
ENST00000264381	BCHE
ENST00000470444	MTND4P17
ENST00000435146	MTND4LP10
ENST00000474435	MTND3P7
ENST00000468910	MTCO3P38
ENST00000494226	AC104629.1
ENST00000468627	AC104629.2
ENST00000495159	LINC01326
ENST00000618366	AC072046.2
ENST00000466500	PSAT1P4
ENST00000485059	AC072046.1
ENST00000475330	CBX1P5
ENST00000496403	AC069439.2
ENST00000494739	AC069439.1
ENST00000401103	AC092965.1
ENST00000469748	AC092965.1
ENST00000392766	ZBBX
ENST00000392767	ZBBX
ENST00000307529	ZBBX
ENST00000455345	ZBBX
ENST00000392764	ZBBX
ENST00000498413	LINC01327
ENST00000264677	SERPINI2
ENST00000616363	SERPINI2
ENST00000476257	SERPINI2
ENST00000461846	SERPINI2
ENST00000471111	SERPINI2
ENST00000308378	WDR49
ENST00000479765	WDR49
ENST00000392750	PDCD10
ENST00000473645	PDCD10
ENST00000497056	PDCD10
ENST00000492396	PDCD10
ENST00000461494	PDCD10
ENST00000470131	PDCD10
ENST00000487947	PDCD10
ENST00000471885	PDCD10
ENST00000463578	HMGN1P8
ENST00000446050	SERPINI1
ENST00000295777	SERPINI1
ENST00000637727	LRRC77P
ENST00000470523	AC026353.1
ENST00000459811	MEMO1P3
ENST00000471495	AC128713.1
ENST00000463169	HMGN2P26
ENST00000470487	GOLIM4
ENST00000309027	GOLIM4
ENST00000584981	AC069243.1
ENST00000431685	EGFEM1P
ENST00000496247	AC124893.1
ENST00000384984	MIR551B
ENST00000432315	RPSAP33
ENST00000425440	RPL21P43
ENST00000484765	LINC02082
ENST00000609121	AC092954.1
ENST00000609103	AC092954.2
ENST00000494900	LINC01997
ENST00000264674	MECOM
ENST00000628990	MECOM
ENST00000464456	MECOM
ENST00000472280	MECOM
ENST00000494292	MECOM
ENST00000468789	MECOM
ENST00000460814	MECOM
ENST00000433243	MECOM
ENST00000418623	AC074033.1
ENST00000484597	AC007849.2
ENST00000602385	TERC
ENST00000330368	ACTRT3
ENST00000349841	MYNN
ENST00000356716	MYNN
ENST00000544106	MYNN
ENST00000446859	LRRC34
ENST00000522830	LRRC34
ENST00000522526	LRRC34
ENST00000340806	LRRIQ4
ENST00000316428	LRRC31
ENST00000264676	LRRC31
ENST00000523069	LRRC31
ENST00000469825	KRT18P43
ENST00000428432	SAMD7
ENST00000335556	SAMD7
ENST00000493762	AC008040.3
ENST00000494834	AC008040.4
ENST00000337002	SEC62
ENST00000480708	SEC62
ENST00000355897	GPR160
ENST00000461049	AC008040.2
ENST00000495893	PHC3
ENST00000494943	PHC3
ENST00000467570	PHC3
ENST00000497658	PHC3
ENST00000481639	PHC3
ENST00000295797	PRKCI
ENST00000466291	AC073288.1
ENST00000259119	SKIL
ENST00000426052	SKIL
ENST00000413427	SKIL
ENST00000458537	SKIL
ENST00000468232	AC073288.2
ENST00000064724	CLDN11
ENST00000486975	CLDN11
ENST00000231706	SLC7A14
ENST00000463294	KRT8P13
ENST00000398900	AC026316.1
ENST00000473110	AC026316.2
ENST00000295830	RPL22L1
ENST00000463836	RPL22L1
ENST00000295822	EIF5A2
ENST00000487522	EIF5A2
ENST00000474096	EIF5A2
ENST00000490941	KLF7P1
ENST00000314251	SLC2A2
ENST00000436636	TNIK
ENST00000341852	TNIK
ENST00000284483	TNIK
ENST00000475336	TNIK
ENST00000357327	TNIK
ENST00000460047	TNIK
ENST00000488470	TNIK
ENST00000470834	TNIK
ENST00000465393	TNIK
ENST00000385228	MIR569
ENST00000467896	AC092919.1
ENST00000420943	AC008134.1
ENST00000356327	PLD1
ENST00000351298	PLD1
ENST00000627725	PLD1
ENST00000331659	PLD1
ENST00000334567	TMEM212
ENST00000619900	TMEM212
ENST00000449106	TMEM212-AS1
ENST00000421757	FNDC3B
ENST00000415807	FNDC3B
ENST00000336824	FNDC3B
ENST00000423424	FNDC3B
ENST00000416957	FNDC3B
ENST00000452665	RPS27AP8
ENST00000596321	AC092964.2
ENST00000366261	AC092964.1
ENST00000454901	BZW1P1
ENST00000241256	GHSR
ENST00000427970	GHSR
ENST00000241261	TNFSF10
ENST00000420541	TNFSF10
ENST00000429380	AC007919.1
ENST00000424941	LINC02068
ENST00000418839	LINC02068
ENST00000451221	SLC31A1P1
ENST00000475381	NCEH1
ENST00000538775	NCEH1
ENST00000543711	NCEH1
ENST00000598405	AC007919.2
ENST00000579277	AC007919.1
ENST00000444110	AC007919.2
ENST00000232458	ECT2
ENST00000540509	ECT2
ENST00000392692	ECT2
ENST00000417960	ECT2
ENST00000441497	ECT2
ENST00000430660	ATP5G1P4
ENST00000428618	AC108667.1
ENST00000351008	SPATA16
ENST00000447709	AC068759.1
ENST00000457714	NLGN1
ENST00000361589	NLGN1
ENST00000401917	NLGN1
ENST00000449016	AC092967.1
ENST00000411665	AC069218.2
ENST00000435269	AC069218.1
ENST00000454872	NAALADL2
ENST00000414101	EEF1B2P8
ENST00000577469	MIR4789
ENST00000454746	AC119744.1
ENST00000397758	UBE2V1P2
ENST00000562617	AC104640.1
ENST00000437653	ACTG1P23
ENST00000416584	EI24P1
ENST00000604457	AC104640.2
ENST00000419971	AC117434.1
ENST00000434969	LINC01208
ENST00000428516	AC092920.1
ENST00000451289	LINC01209
ENST00000434246	MTND5P15
ENST00000430069	TBL1XR1
ENST00000457928	TBL1XR1
ENST00000425388	LINC00501
ENST00000423174	ASS1P7
ENST00000457125	AC117465.1
ENST00000442937	LINC00578
ENST00000439009	LINC00578
ENST00000446548	LINC00578
ENST00000456755	AC026355.2
ENST00000423466	AC026355.1
ENST00000611065	AC026355.3
ENST00000436078	LINC02015
ENST00000450500	AC007953.1
ENST00000603299	AC007953.2
ENST00000414475	AC109779.1
ENST00000439810	AC109779.1
ENST00000411727	AC109779.1
ENST00000420517	KCNMB2
ENST00000452583	KCNMB2
ENST00000432997	KCNMB2
ENST00000358316	KCNMB2
ENST00000617329	KCNMB2
ENST00000614557	AC117457.1
ENST00000603675	AC024220.1
ENST00000311417	ZMAT3
ENST00000432729	ZMAT3
ENST00000435560	AC076966.1
ENST00000263967	PIK3CA
ENST00000485523	KCNMB3
ENST00000497599	KCNMB3
ENST00000392685	KCNMB3
ENST00000314235	KCNMB3
ENST00000349697	KCNMB3
ENST00000498774	LRRFIP1P1
ENST00000496856	ZNF639
ENST00000326361	ZNF639
ENST00000484866	ZNF639
ENST00000621687	ZNF639
ENST00000569932	AC007823.1
ENST00000471841	MFN1
ENST00000263969	MFN1
ENST00000232564	GNB4
ENST00000468623	GNB4
ENST00000473810	AC007620.1
ENST00000483867	MTHFD2P7
ENST00000429709	ACTL6A
ENST00000450518	ACTL6A
ENST00000392662	ACTL6A
ENST00000476781	MRPL47
ENST00000259038	MRPL47
ENST00000392659	MRPL47
ENST00000259037	NDUFB5
ENST00000611971	NDUFB5
ENST00000493866	NDUFB5
ENST00000472629	NDUFB5
ENST00000496255	AC125604.1
ENST00000263966	USP13
ENST00000496897	USP13
ENST00000392649	PEX5L
ENST00000467460	PEX5L
ENST00000263962	PEX5L
ENST00000485199	PEX5L
ENST00000468741	PEX5L
ENST00000476138	PEX5L
ENST00000472994	PEX5L
ENST00000464614	PEX5L
ENST00000465751	PEX5L
ENST00000602704	AC007687.1
ENST00000633048	AC134503.1
ENST00000480688	GAPDHP36
ENST00000493579	AC068760.1
ENST00000488262	LINC02053
ENST00000472596	AC125618.1
ENST00000465165	AC068298.1
ENST00000296015	TTC14
ENST00000412756	TTC14
ENST00000382584	TTC14
ENST00000442201	CCDC39
ENST00000481241	AC108734.3
ENST00000420887	AC108734.2
ENST00000460917	FLYWCH1P1
ENST00000357559	FXR1
ENST00000305586	FXR1
ENST00000491674	FXR1
ENST00000491062	FXR1
ENST00000468861	FXR1
ENST00000445140	FXR1
ENST00000480918	FXR1
ENST00000439549	AC108734.1
ENST00000382564	DNAJC19
ENST00000486355	DNAJC19
ENST00000491873	DNAJC19
ENST00000479269	DNAJC19
ENST00000487828	AC083904.1
ENST00000394301	FAUP2
ENST00000460993	AC022294.1
ENST00000423357	RPL7AP25
ENST00000636224	AC125613.1
ENST00000325404	SOX2
ENST00000468802	AC007547.2
ENST00000462177	AC007547.1
ENST00000482787	LINC01206
ENST00000490001	LINC01206
ENST00000474045	LINC01206
ENST00000610910	LINC01206
ENST00000476815	LINC01206
ENST00000609168	LINC01206
ENST00000628718	LINC01206
ENST00000629026	LINC01206
ENST00000625703	LINC01206
ENST00000630063	LINC01206
ENST00000462382	AC012081.1
ENST00000473893	AC084211.1
ENST00000496220	LINC01994
ENST00000498782	EIF4EP3
ENST00000489016	LINC01995
ENST00000469911	RPL7L1P8
ENST00000492416	LINC02031
ENST00000491689	AC083801.1
ENST00000565024	AC083801.2
ENST00000323116	ATP11B
ENST00000493826	ATP11B
ENST00000604149	AC069431.2
ENST00000292782	DCUN1D1
ENST00000632685	DCUN1D1
ENST00000469954	DCUN1D1
ENST00000460975	AC092953.1
ENST00000265594	MCCC1
ENST00000492597	MCCC1
ENST00000610757	MCCC1
ENST00000629669	MCCC1
ENST00000265598	LAMP3
ENST00000466939	LAMP3
ENST00000328913	MCF2L2
ENST00000473233	MCF2L2
ENST00000447025	MCF2L2
ENST00000414362	MCF2L2
ENST00000326505	B3GNT5
ENST00000460419	B3GNT5
ENST00000465010	B3GNT5
ENST00000487386	LINC00888
ENST00000604762	AC092960.1
ENST00000341319	KLHL6
ENST00000474767	AC068769.1
ENST00000242810	KLHL24
ENST00000454652	KLHL24
ENST00000476808	KLHL24
ENST00000305135	YEATS2
ENST00000401347	AC131160.1
ENST00000639401	AC131160.1
ENST00000318631	MAP6D1
ENST00000431348	MAP6D1
ENST00000639100	PARL
ENST00000317096	PARL
ENST00000311101	PARL
ENST00000435888	PARL
ENST00000416648	RPSAP31
ENST00000584360	MIR4448
ENST00000454440	CYP2AB1P
ENST00000334444	ABCC5
ENST00000265586	ABCC5
ENST00000427120	ABCC5
ENST00000392579	ABCC5
ENST00000382494	ABCC5
ENST00000446941	ABCC5
ENST00000419025	EEF1A1P8
ENST00000334128	HTR3D
ENST00000428798	HTR3D
ENST00000382489	HTR3D
ENST00000453435	HTR3D
ENST00000318351	HTR3C
ENST00000445553	AC131235.2
ENST00000415389	HTR3E
ENST00000425359	HTR3E
ENST00000335304	HTR3E
ENST00000436361	HTR3E
ENST00000440596	HTR3E
ENST00000438353	HSP90AA5P
ENST00000609288	AC131235.4
ENST00000273783	EIF2B5
ENST00000432569	EIF2B5
ENST00000433853	AC131235.1
ENST00000313143	DVL3
ENST00000431765	DVL3
ENST00000382456	AP2M1
ENST00000411763	AP2M1
ENST00000292807	AP2M1
ENST00000439647	AP2M1
ENST00000621863	AP2M1
ENST00000429586	ABCF3
ENST00000292808	ABCF3
ENST00000426955	VWA5B2
ENST00000273794	VWA5B2
ENST00000408193	MIR1224
ENST00000397676	ALG3
ENST00000445626	ALG3
ENST00000455059	ALG3
ENST00000324557	ECE2
ENST00000402825	ECE2
ENST00000359140	ECE2
ENST00000404464	ECE2
ENST00000357474	ECE2
ENST00000296238	CAMK2N2
ENST00000310118	PSMD2
ENST00000435761	PSMD2
ENST00000439383	PSMD2
ENST00000346169	EIF4G1
ENST00000352767	EIF4G1
ENST00000414031	EIF4G1
ENST00000392537	EIF4G1
ENST00000382330	EIF4G1
ENST00000350481	EIF4G1
ENST00000427845	EIF4G1
ENST00000342981	EIF4G1
ENST00000424196	EIF4G1
ENST00000411531	EIF4G1
ENST00000441154	EIF4G1
ENST00000434061	EIF4G1
ENST00000435046	EIF4G1
ENST00000450976	FAM131A
ENST00000418281	FAM131A
ENST00000340957	FAM131A
ENST00000639617	FAM131A
ENST00000383847	FAM131A
ENST00000453072	FAM131A
ENST00000310585	FAM131A
ENST00000265593	CLCN2
ENST00000344937	CLCN2
ENST00000434054	CLCN2
ENST00000457512	CLCN2
ENST00000456318	POLR2H
ENST00000438240	POLR2H
ENST00000430783	POLR2H
ENST00000443489	POLR2H
ENST00000452961	POLR2H
ENST00000429568	POLR2H
ENST00000204615	THPO
ENST00000445696	THPO
ENST00000421442	THPO
ENST00000204604	CHRD
ENST00000450923	CHRD
ENST00000348986	CHRD
ENST00000419960	LINC02054
ENST00000637035	AC128714.1
ENST00000451348	LINC01839
ENST00000330394	EPHB3
ENST00000317897	MAGEF1
ENST00000610001	AC107294.2
ENST00000609211	AC107294.3
ENST00000609524	AC107294.1
ENST00000457449	LINC02069
ENST00000287546	VPS8
ENST00000436792	VPS8
ENST00000446204	VPS8
ENST00000625842	VPS8
ENST00000424463	VPS8
ENST00000628962	VPS8
ENST00000335012	C3orf70
ENST00000231887	EHHADH
ENST00000456310	EHHADH
ENST00000440662	EHHADH
ENST00000447161	EIF2S2P2
ENST00000581890	hsa-mir-5588
ENST00000448876	MAP3K13
ENST00000446828	MAP3K13
ENST00000424227	MAP3K13
ENST00000454237	MAP3K13
ENST00000438798	MAP3K13
ENST00000443863	MAP3K13
ENST00000265026	MAP3K13
ENST00000422486	RPL4P4
ENST00000421852	TMEM41A
ENST00000296254	TMEM41A
ENST00000296252	LIPH
ENST00000424591	LIPH
ENST00000296257	SENP2
ENST00000455173	AC133473.1
ENST00000382199	IGF2BP2
ENST00000457616	IGF2BP2
ENST00000346192	IGF2BP2
ENST00000421047	IGF2BP2
ENST00000580207	MIR548AQ
ENST00000453386	TRA2B
ENST00000382191	TRA2B
ENST00000342294	TRA2B
ENST00000306399	NMRAL2P
ENST00000306376	ETV5
ENST00000434744	ETV5
ENST00000265022	DGKG
ENST00000344484	DGKG
ENST00000382164	DGKG
ENST00000435548	LINC02020
ENST00000421006	LINC02020
ENST00000427914	LINC02052
ENST00000456535	LINC02051
ENST00000392499	CRYGS
ENST00000307944	CRYGS
ENST00000424280	TBCCD1
ENST00000338733	TBCCD1
ENST00000446782	TBCCD1
ENST00000439351	DNAJB11
ENST00000265028	DNAJB11
ENST00000418776	AC068631.2
ENST00000538831	AC068631.3
ENST00000411641	AHSG
ENST00000273784	AHSG
ENST00000450521	FETUB
ENST00000382134	FETUB
ENST00000265029	FETUB
ENST00000382136	FETUB
ENST00000232003	HRG
ENST00000451768	AC109780.1
ENST00000413467	AC109780.2
ENST00000287611	KNG1
ENST00000265023	KNG1
ENST00000447445	KNG1
ENST00000432890	PSMD10P2
ENST00000430745	GPS2P2
ENST00000323963	EIF4A2
ENST00000440191	EIF4A2
ENST00000433496	RFC4
ENST00000392481	RFC4
ENST00000296273	RFC4
ENST00000419745	LINC02043
ENST00000448639	AC112907.2
ENST00000320741	ADIPOQ
ENST00000444204	ADIPOQ
ENST00000412545	RPS20P14
ENST00000451924	AC007690.1
ENST00000169298	ST6GAL1
ENST00000457772	ST6GAL1
ENST00000448044	ST6GAL1
ENST00000455270	RPL39L
ENST00000296277	RPL39L
ENST00000433055	RPL39L
ENST00000312295	RTP1
ENST00000337774	MASP1
ENST00000296280	MASP1
ENST00000392472	MASP1
ENST00000169293	MASP1
ENST00000392470	MASP1
ENST00000259030	RTP4
ENST00000440726	LINC02041
ENST00000287641	SST
ENST00000358241	RTP2
ENST00000621333	BCL6
ENST00000406870	BCL6
ENST00000232014	BCL6
ENST00000450123	BCL6
ENST00000450760	AC072022.1
ENST00000417384	AC108681.1
ENST00000413056	AC068295.1
ENST00000446091	LINC01991
ENST00000415940	AC092941.1
ENST00000444379	AC092941.2
ENST00000449845	AC022498.1
ENST00000448637	LPP
ENST00000618621	LPP
ENST00000640853	LPP
ENST00000617246	LPP
ENST00000392468	AC022498.1
ENST00000579504	AC063932.1
ENST00000384918	MIR28
ENST00000444488	TPRG1-AS1
ENST00000433971	TPRG1
ENST00000345063	TPRG1
ENST00000411493	AC009319.1
ENST00000264731	TP63
ENST00000418709	TP63
ENST00000320472	TP63
ENST00000392460	TP63
ENST00000440651	TP63
ENST00000354600	TP63
ENST00000437221	TP63
ENST00000392463	TP63
ENST00000392461	TP63
ENST00000449992	TP63
ENST00000456148	TP63
ENST00000427601	AC078809.1
ENST00000401239	MIR944
ENST00000319332	P3H2
ENST00000427335	P3H2
ENST00000437063	MTAPP2
ENST00000516924	AC067718.1
ENST00000457517	NMNAT1P3
ENST00000295522	CLDN1
ENST00000264734	CLDN16
ENST00000456423	CLDN16
ENST00000354905	TMEM207
ENST00000072516	IL1RAP
ENST00000439062	IL1RAP
ENST00000447382	IL1RAP
ENST00000422485	IL1RAP
ENST00000434491	IL1RAP
ENST00000422940	IL1RAP
ENST00000317757	IL1RAP
ENST00000412504	IL1RAP
ENST00000443369	IL1RAP
ENST00000450607	GCNT1P3
ENST00000609508	AC108747.1
ENST00000438156	LINC02013
ENST00000430443	CCT6P4
ENST00000397646	AC092952.1
ENST00000442080	GMNC
ENST00000445281	OSTN
ENST00000339051	OSTN
ENST00000340524	UTS2B
ENST00000427544	UTS2B
ENST00000392455	CCDC50
ENST00000392456	CCDC50
ENST00000641055	AC073365.1
ENST00000518817	PYDC2
ENST00000434379	AC026320.2
ENST00000401201	AC026320.1
ENST00000444729	AC026320.1
ENST00000445105	FGF12
ENST00000454309	FGF12
ENST00000450716	FGF12
ENST00000430714	FGF12
ENST00000392452	MB21D2
ENST00000414895	AC092966.1
ENST00000423931	VEZF1P1
ENST00000264735	HRASLS
ENST00000342358	ATP13A5
ENST00000620313	ATP13A5
ENST00000400270	ATP13A4
ENST00000392443	ATP13A4
ENST00000342695	ATP13A4
ENST00000295548	ATP13A4
ENST00000420064	AC048351.1
ENST00000361828	OPA1
ENST00000361715	OPA1
ENST00000361510	OPA1
ENST00000361150	OPA1
ENST00000361908	OPA1
ENST00000392438	OPA1
ENST00000447462	AC069421.1
ENST00000439074	LINC02038
ENST00000397645	LINC02026
ENST00000414309	LINC02026
ENST00000426616	AC024559.1
ENST00000411853	DPPA2P3
ENST00000615240	AC024559.2
ENST00000457815	AC080129.1
ENST00000232424	HES1
ENST00000415869	LINC02036
ENST00000455821	LINC02037
ENST00000440556	LINC02048
ENST00000456816	LINC00887
ENST00000429578	LINC00887
ENST00000414120	LINC00887
ENST00000323830	CPN2
ENST00000429275	CPN2
ENST00000347624	LRRC15
ENST00000428839	LRRC15
ENST00000401815	GP5
ENST00000439040	ATP13A3
ENST00000619199	ATP13A3
ENST00000256031	ATP13A3
ENST00000605225	AC108676.2
ENST00000440847	RPL23AP93
ENST00000392432	TMEM44
ENST00000381975	TMEM44
ENST00000347147	TMEM44
ENST00000473092	TMEM44
ENST00000330115	TMEM44
ENST00000609789	AC046143.2
ENST00000265245	LSG1
ENST00000582474	AC046143.2
ENST00000408791	AC046143.1
ENST00000329759	FAM43A
ENST00000439479	AC106706.1
ENST00000423318	LINC01968
ENST00000430515	AC090505.1
ENST00000422271	LINC01972
ENST00000427064	AC090505.2
ENST00000310380	XXYLT1
ENST00000437101	XXYLT1
ENST00000429994	XXYLT1
ENST00000356740	XXYLT1
ENST00000577367	MIR3137
ENST00000326793	ACAP2
ENST00000618471	ACAP2
ENST00000434369	AC090018.1
ENST00000618156	PPP1R2
ENST00000625807	PPP1R2
ENST00000454858	AC069213.3
ENST00000420238	AC069213.2
ENST00000343267	APOD
ENST00000457750	MUC20P1
ENST00000633223	AC233280.19
ENST00000608379	RP11-141C7.4
ENST00000603917	AC233280.2
ENST00000423600	AC233280.1
ENST00000457233	LINC00969
ENST00000452844	LINC00969
ENST00000453324	LINC00969
ENST00000445430	LINC00969
ENST00000600527	LINC00969
ENST00000625358	LINC00969
ENST00000625632	LINC00969
ENST00000627767	LINC00969
ENST00000630170	LINC00969
ENST00000626156	LINC00969
ENST00000626569	LINC00969
ENST00000597482	LINC00969
ENST00000629990	LINC00969
ENST00000420851	LINC00969
ENST00000626870	LINC00969
ENST00000626007	LINC00969
ENST00000625338	LINC00969
ENST00000608737	LINC00969
ENST00000438608	LINC00969
ENST00000445707	LINC00969
ENST00000596584	LINC00969
ENST00000630874	LINC00969
ENST00000627609	LINC00969
ENST00000597871	LINC00969
ENST00000627297	LINC00969
ENST00000625665	LINC00969
ENST00000455183	SDHAP2
ENST00000384917	MIR570
ENST00000637412	AC233280.20
ENST00000447234	MUC20
ENST00000436408	MUC20
ENST00000320736	MUC20
ENST00000445522	MUC20
ENST00000349607	MUC4
ENST00000346145	MUC4
ENST00000463781	MUC4
ENST00000475231	MUC4
ENST00000444346	LINC01983
ENST00000413586	LINC01983
ENST00000454055	KIF3AP1
ENST00000381916	TNK2
ENST00000333602	TNK2
ENST00000428187	TNK2
ENST00000641191	AC124944.3
ENST00000429866	AC124944.2
ENST00000440850	SDHAP1
ENST00000411669	AC024937.2
ENST00000420415	TFRC
ENST00000360110	TFRC
ENST00000392396	TFRC
ENST00000429793	AC024937.1
ENST00000457079	LINC00885
ENST00000296326	ZDHHC19
ENST00000296327	SLC51A
ENST00000419333	PCYT1A
ENST00000292823	PCYT1A
ENST00000431016	PCYT1A
ENST00000431391	AC069257.3
ENST00000325318	TCTEX1D2
ENST00000441819	AC069257.2
ENST00000442633	TM4SF19-TCTEX1D2
ENST00000446879	TM4SF19
ENST00000454715	TM4SF19
ENST00000273695	TM4SF19
ENST00000296328	UBXN7
ENST00000428095	UBXN7
ENST00000438001	AC083822.1
ENST00000430043	AC117490.1
ENST00000318037	RNF168
ENST00000397537	SMCO1
ENST00000393644	AC092933.1
ENST00000439929	RPS29P3
ENST00000332629	WDR53
ENST00000429115	WDR53
ENST00000433160	WDR53
ENST00000440469	FBXO45
ENST00000311630	FBXO45
