tadIndex	chromosomeIndex	startPos	endPos	cytobandIndices	geneIndices
315	2	35040000	35960000	73	196085;226994;229013;234587;237320;265301
316	2	35720000	36600000	73	150938;233752;234587;260025
317	2	36550000	37080000	73;74	115808;150938;171055;205221;260025;268688;270677
318	2	37000000	38165000	74	3509;8869;55332;115808;115816;115825;115828;115841;138068;152133;163171;205221;218739;224891;225402;232028;233159;236572;237803;268688
319	2	38120000	38560000	74	115841;119787;138061;213594;227292;227770;229160;273006
320	2	38485000	39120000	74;75	115875;119787;143889;143891;152147;163214;188010;213553;213594;214694;223922;231367;232114;235009;271443
321	2	39040000	39550000	75	11566;115904;163214;188010;205111;214694;225900
322	2	39480000	40040000	75	11566;138050;152154
323	2	40000000	41040000	75	138050;183023;233128;235653;268898
324	2	40960000	42080000	75;76	221372;233128;236090;236533;237442
325	2	42040000	43040000	76	57935;115944;143924;162878;162881;162882;171126;205086;214691;215263;226491;226523;232526;234362;236090;236533;236913
326	2	42960000	43920000	76	57935;115970;152518;152527;162881;162882;223658;224739;226491;229695;230587;231826;232202;233978;279873
327	2	43840000	44615000	76	138032;138036;138075;138078;138079;138095;143919;143921;152527;219391;223658;224637;226972;229695
328	2	44560000	45240000	76	138078;138083;143919;170577;225156;231848;236502;252896;259439
329	2	45200000	45840000	76	68784;170577;231054;231156;231848
330	2	45800000	47200000	76	68724;68784;116016;119729;119878;151665;171132;171150;180398;222005;226548;228100;233335;233829;239332;250565;260977;284701
331	2	47150000	47640000	76	68724;95002;119888;143933;180398;207923;226087;234690;239605;273269
332	2	47600000	48040000	76;77	95002;116062;119888;138081;184261;207923;224058;224443;230979;235369;269563
333	2	48000000	48325000	77	116062;138081;226473;230773;235369;236549;275423
334	2	48285000	48840000	77	68781;162869;170802;230773;243244;272663
335	2	48785000	49800000	77	68781;138039;170820;214602;232285;239995;242441;243244;279956;282828;282890;282998
336	2	49720000	50760000	77	179915;234253;282828
337	2	50710000	52240000	77	179915;215968;216011;216191;222692;223710;224344;226366;230327;230840;231918;238165;272385
338	2	51960000	54025000	77;78	68912;115239;143942;204993;223710;223897;225444;225842;226366;228033;230840;231918;232604;232668;233083;236538;236837;264740;264975;270898
339	2	53960000	54965000	78	68878;68912;115239;115306;119737;143942;170634;177994;178021;214595;233266;235937;237887;241114;265452;270898;272156
340	2	54910000	55920000	78;79	85760;115310;115355;138035;143947;162994;162997;163001;214595;227799;233594;264849;266376;275052
341	2	55860000	56375000	79	115380;138035;207548;207798;211520;226702;229805;272180
342	2	56280000	57000000	79	55813;229805;231570;272180
343	2	56960000	57840000	79	231570;270569;271115
344	2	57800000	58975000	79	28116;115392;225226;231043;233426;233723;251738;271615
345	2	58760000	60965000	79	119866;213495;221653;222030;223929;228590;231815;233723;233891;252455;266078;270447;271134;271707;271955
346	2	60920000	61290000	79	115421;162924;162927;162928;213495;228414;232713;237024;237522;271707
347	2	61240000	62125000	79;80	82898;115464;115484;162927;162928;162929;170264;173163;173209;213486;226884;227361;229831;230702;234624;237651;266768;271146;271243;271889;277498
348	2	62080000	62680000	80	115484;170264;170340;173163;230702;242735;266097;270335;271657;277498
349	2	62635000	63080000	80	115504;186889;228541;229503;230595;232144;233702
350	2	63000000	63800000	80	115504;115507;143951;232403;233716;237162;242412;270437
351	2	63760000	64125000	80;81	14641;143951;143952;169764;221085;228305;228872;229221;229920;234488
352	2	64080000	64800000	80;81	119844;119862;143952;169764;197329;223863;228079;230923;236148;237217;238012;238201;260101;264297;270354
353	2	64760000	65480000	81	11523;115902;119844;138069;138071;172974;179833;226756;227394;227791;233694;234572;237638;253082;273763
354	2	65435000	65840000	81	138071;198369;223739;234255;235725;237979
355	2	65800000	66690000	81	143995;214533;221524;222591;225815;227293;232164;235725;264525;265899;281920
356	2	66610000	68360000	81	143971;143995;197223;223859;224071;224173;230355;230525;232046;232164;232688;235495;235885;235968;236259;236605;236780;237013;237179;243667;273398
357	2	68280000	69215000	81;82	115946;115956;119865;163217;163219;169605;169618;169621;183607;197223;204923;214525;216115;221443;221823;228329;229462;236259;243667;273398;283586
358	2	69160000	69640000	82	169599;169604;169605;183607;198380;266649;271597
359	2	69560000	70125000	82	59728;87338;115977;124380;169599;196975;198380;229948;231024;232228;270723
360	2	70080000	70560000	82	35141;59728;87338;115998;116001;116005;124380;143977;169564;221238;225392;231327;231414;233060;244617;268328;270723
361	2	70485000	71280000	82	35141;75340;116005;116031;116035;116039;143977;144031;144043;152672;163235;183733;205847;215996;226186;228034;231386;234485;235289;237751;258881;264382;265812;266029;266186
362	2	71225000	71790000	82;83	75292;124357;124370;124374;124383;135636;205847;233870;234485;234896;264051;264382;265812;266029;266186;272735
363	2	71710000	72400000	83	3137;135636;233971
364	2	72360000	73100000	83	3137;144036;228568
365	2	73060000	73490000	83	116096;135617;135624;135631;135632;135638;144040;163013;214513
366	2	73440000	74880000	83;84	5448;65911;108442;114956;114978;114993;115274;115275;115282;115289;115297;115307;115317;115318;115325;116127;124356;135617;135624;135625;135632;135637;144034;144035;144045;144048;159239;159374;163013;163016;163017;163170;179528;187605;187833;188687;204822;204843;204872;214484;217702;221087;225658;229798;233155;233872;234521;234632;235499;239779;257800;264324;267958;271536;273245;274049;279070;284308
367	2	74835000	75925000	84;85	5436;108442;115350;115353;115363;115364;135622;159374;159399;204792;224646;226247;230477;230836;233872;236167;236209;263909;272711
368	2	75880000	76920000	85	5436;115364;228209;233107;270996;271356
369	2	76840000	77800000	85	176204;211984;263447
370	2	77640000	78280000	85	176204;227088;230968;233605;237077
371	2	78120000	78760000	85	214429;229494;233605;270470
372	2	78560000	79240000	85	214429;234877;270470
373	2	79200000	80240000	85	66032;115386;143954;172016;172023;204787;230237;263566;266436;277171
374	2	80160000	81880000	85	66032;162951;221179;223427;230975;231722;234429;235519
375	2	81440000	83560000	85;86	168129;223977;224695;225045;226700;226860;227789;229560;231722;231781;233444;235519;237498
376	2	83480000	84720000	86	163541;182814;224627;228225;228272;228902;232548
377	2	84650000	85190000	86	34510;115423;163541;186854;213399;213400;235847;259056;269417;276362
378	2	85120000	85850000	86	34510;42445;42493;115459;115486;118640;152284;152291;152292;168883;168887;168890;168894;168899;168906;176407;186854;213399;221579;225787;229648;230299;235463;246575;260840;269417;270532;271014
379	2	85800000	86440000	86	68654;115523;115525;118640;132300;132305;132313;168874;168878;168883;168887;168890;168894;168899;203363;232504;265420;272564
380	2	86385000	88200000	86	68615;115548;115561;125551;132305;132313;153561;153563;172116;183281;185304;187627;204745;213605;214354;222041;224881;225933;226114;229604;229615;230395;231259;231351;233671;233673;233999;234231;239305;249884;252453;264793;265420;265507;266931;271097;280721;281477
381	2	88080000	89640000	86	115593;144115;153574;163586;172071;172073;172086;185304;197794;211592;211593;211594;211595;211596;211597;211598;211599;211611;214336;220999;221619;221686;224291;225136;225428;229604;230006;232508;233205;239855;239862;239951;240382;240671;240864;241294;241351;241755;242076;242371;243063;243238;243290;243466;244116;244437;244575;253158;253202;253265;253278;253435;253461;253487;253497;253578;253592;253625;253732;253860;253870;253998;254098;254157;265003;265510;266309;273962;277852;283270;99999999998
382	2	89585000	90360000	86	211623;211625;211626;211632;211633;224041;224607;225523;232747;235896;239571;239819;239862;239975;240834;241244;241566;242371;242534;242580;242766;243264;250036;251039;251546;253127;253191;253365;253461;253487;253501;253592;253765;253906;253999;254009;254097;254220;254292;254345;273962;276566;99999999998
383	2	90280000	91760000	86;87	228325;270999;276674;281904
384	2	91680000	92400000	87	143429;184303;214329;214330;223703;223816;226481;227497;230572;230964;232531;234898;235147;235235;236969;237085;238320;261600;271627;273825;275075;275767;276118;276756;277095;278131;283132;283196;283214;283427
385	2	92320000	93300000	87	-1
386	2	93300000	95360000	88	-1
387	2	95285000	96480000	88	115041;115042;144010;144015;144026;144029;155066;163060;168992;172005;204699;204705;204717;213355;223564;223917;224585;224719;226185;227120;227265;229089;229689;230083;231331;232128;232502;232594;232717;232931;233037;233105;233158;233275;233447;233757;234837;234903;235129;235186;235571;235584;235959;236026;236431;236750;237055;237308;237383;237510;238162;248821;259848;270193;271003;272913;273305;275111;275768
388	2	96400000	97200000	88;89	84090;121152;135956;144021;144028;158050;163121;174501;186281;188886;198885;228873;231584;232931;237510;274286
389	2	97160000	97880000	89	114982;114988;135976;144188;144199;158158;163121;163126;168754;168758;168763;188383;196843;204670;213337;230343;236847;248134;249715;264157;270748;271402;273265;273634;275094
390	2	97800000	99240000	89	40933;71073;75568;115073;115085;115446;135940;135976;144191;168658;183513;196912;216112;228486;228970;230606;231635;235734;235833;237837;241481;270187;270252;270450;271015;271351;271569;271630;276050;278766
391	2	99160000	100160000	89	40933;71073;115446;115514;135945;135951;144182;144214;158411;158417;183513;185414;185674;196872;222274;226791;231822;236564;241962;273045;273155
392	2	100080000	101200000	89	115526;115539;135945;144218;170500;204637;204640;222274;232084;238029;269383;270699
393	2	101135000	101680000	89	71082;115539;170485;204634;226034;227259;228488;234169;234988
394	2	101600000	102540000	89	71054;71082;158435;163162;170485;175874;196460;204634;223826;226058;232556;233404;237549;264857;271532;272902
395	2	102480000	103440000	89;90	71054;115590;115594;115598;115602;115604;115607;115616;135953;170417;180251;205716;233404;236785;264764;281162
396	2	103385000	104600000	90	170417;221849;224095;227623;227680;229209;231723;232597;236141;236596;256637;277527
397	2	104520000	105960000	90	135966;135972;135973;135974;198914;213301;221654;225669;225765;226508;227157;228528;228968;230690;231626;233955;234177;234781;235319;235597;236109;256637;263685;268556;272861;272994
398	2	105880000	106175000	90;91	115641;135966;135974;235319;272994
399	2	106135000	107200000	91	71051;115652;119147;153165;213295;224061;227513;229682;230353;231505;232001;233939;234162;235486;237666;240935;254126;269000;273595
400	2	107160000	109440000	91;92	115665;135968;144057;153201;163006;169756;196228;196862;198075;198203;214199;224568;225588;226905;227270;227597;229360;229457;229890;230651;231221;232001;232991;233494;233648;235325;235644;236877;237223;237745;237880;261209;271070;271284
401	2	109360000	110165000	92	135960;153201;163006;172985;227470;228551;259863;264934;265965
402	2	110120000	110600000	92;93	15568;172985;186522;198142;230603;231099;233307;233707;237916;282033
403	2	110520000	112615000	93	15568;144061;144063;153093;153094;153107;169679;172965;175701;175772;183054;184115;186148;204588;212091;216867;223973;224959;225108;225744;226065;226928;226991;227842;227992;228615;229118;229730;230499;230596;230650;231583;233370;235721;235881;236330;237583;240069;240350;256671;256977;257207;261760;263881;264336;264979;265682;266063;266139;270190;271590;271635;280878;282785;283167;284337
404	2	112560000	113880000	93	114999;115008;125538;125571;125611;125630;136688;136689;136694;136695;136696;136697;144130;144136;144152;144161;153107;153208;153214;169607;169629;180152;188177;221541;225496;227368;228251;230958;231747;232090;232277;235258;236124;236307;236555;237753;283698
405	2	113800000	114240000	93	125618;125637;136682;136689;136695;136696;136697;231292;238091;272563
406	2	114200000	114760000	93;94	115084;115091;136682;144134;144158;146556;175509;184492;215984;221055;225398;226516;227359;228857;231943;233479;234148;234199;236397;238091;240356;243179;244063;265429;270019;279457;279928
407	2	114710000	115390000	94	115091;175497;215984;231926;234199;235242;243179
408	2	115320000	115960000	94	175497
409	2	115900000	117240000	94	175497;230391
410	2	117040000	118575000	94	88205;224869;226341;227291;228898;230158;230950;235871;271667
411	2	118520000	120120000	94;95	19169;88205;115107;125629;125631;125633;144119;163064;186132;224967;226856;236255;258910
412	2	120040000	121075000	95	80293;88179;115109;144118;144120;155368;163075;171227;186132;223549;226479;227788;229326;233286;233741;234065;236878;243104;265553
413	2	120960000	121450000	95	144118;163083;223549;226479;227788;229774;232140;233286;234065;235840;236878;237614;243104;268194
414	2	121400000	122160000	95	74047;74054;115112;221321;229774;232723;234455;236145;271709
415	2	122085000	122565000	95;96	74054;155438;211460;213239;224655;230993;270798
416	2	122520000	124800000	96	155052;211460;221689;224655;226708;227738;232740;235640;237856
417	2	124720000	125600000	96	155052;238046;270815
418	2	125520000	126480000	96	155052;235491;270815
419	2	126400000	126990000	96	224410;226813;235491
420	2	126910000	127840000	96	136717;136732;213236;235128;235774;236655;237524;260163;260634
421	2	127800000	128520000	96	72163;115718;136709;136717;144230;163161;163166;169967;169994;173349;186684;226789;236682;237630;264075
422	2	128280000	131240000	96;97	72135;72163;136699;136709;136710;136715;136718;136720;136731;144230;144231;144233;152076;152082;152086;163166;169994;173349;178162;180178;185631;196604;196834;204399;204460;213225;214100;217289;222014;223760;224352;225449;226915;227632;227653;228471;229173;229536;229758;230496;230548;230646;230756;231147;231240;231954;232101;232990;233428;233550;234044;234398;234559;234934;236211;236595;237532;237574;237722;238180;238277;239402;244563;248136;248313;249997;250207;265280;271435;272667;274010;283940;284171;284619
423	2	131160000	132940000	97;98	75886;115762;136002;136698;152093;152102;152117;163040;163046;173272;173302;178162;178171;183292;184761;186825;188219;196834;197927;204434;213222;214077;214081;217950;222038;223349;223631;224425;224559;224679;225448;225594;226831;226886;227275;227661;227745;227817;229203;230450;230646;231431;231777;232503;232742;232760;233087;233285;234480;234576;234939;235080;235615;236485;236516;236590;236956;237910;239402;240253;244337;248796;265575;270930;271179;273073;273588;274353;276460;283865;284479;284659
424	2	132880000	133960000	98	18607;150551;163046;176771;183840;221142;221288;227745;228721;230803;230992;232349;233786;269686;272769
425	2	133910000	134680000	98	176771;223430
426	2	134600000	135720000	98;99	82258;152127;152128;153086;228098;234060;234682;263783;263813
427	2	135675000	136625000	99	48991;76003;82258;115839;115850;121988;144224;176601;207654;235651
428	2	136560000	137160000	99;100	76003;115850;115866;121966;214070;227347;230037;237262
429	2	137120000	137625000	100	144229;216081;221762;229568
430	2	137575000	138600000	100	144229
431	2	138560000	139640000	100	144227;144228;150540;224231;228043;230569;232915;233045;234007;234645;237772;237939;260059
432	2	139600000	140550000	100	226939;228374;229104;229131;232992;235232
433	2	140440000	141000000	100	168702;221074;223554;223921;224028;227149;228374;231567
434	2	140800000	141720000	100	168702;223921;224028;227149;231567;236440;238065
435	2	141640000	142960000	100;101	168702;233329;238065;265224;266259
436	2	142900000	143440000	101	228134;239131
437	2	143400000	143800000	101	115919;221169;229781;270390
438	2	143760000	145240000	101;102	75884;115919;121964;169554;221169;224288;224852;225476;226839;227557;231766;232772;236300;236356
439	2	145120000	147480000	102	169554;198526;214064;225107;226218;226674;227134;230559;232606;233842;234119;234940;235352;235435;268580
440	2	147435000	148680000	102	121989;221289;227902;229143;231040;271583
441	2	148640000	149360000	102;103	115947;121989;204406;224007;232238;265049
442	2	149280000	149890000	103	135999;168280;223962;226340;228848;232238;263656
443	2	149840000	150450000	103;104	150556;168280;168288;187123;223604;224337;228236
444	2	150400000	152300000	104;105	80345;115963;123609;123610;162947;168288;184898;213201;222031;224048;230645;231420;232359;236049;236885;237220;264684
445	2	152240000	152915000	105	80345;162980;182389;183091;283228
446	2	152840000	153600000	105	115145;157827;177917;182389;196504;213197;234272;270776
447	2	153560000	154480000	105	177519;177917;196504;214024;214025;224612;226213;226338;227708;234932;242575
448	2	154400000	155280000	105;106	144278;212001;230251;236917;266512
449	2	155200000	156240000	106	144278;162989;227682;228837;229701;229935;230991;232982;233039;233248;233709;238004
450	2	156200000	158165000	106	115159;136542;153234;213194;226383;235548;238069;263848;268857;282440;283436
451	2	158120000	158920000	106	7001;115165;115170;123612;136541;136542;215934;216054;228937;230562;234584;270557;271320
452	2	158875000	159720000	106	7001;144283;153237;163331;227331;228586;231158;231675;234890;243792;251491
453	2	159680000	160900000	106;107	54219;115183;123636;136536;153246;163331;188668;196151;213189;225369;226266;226878;227055;230783;241399;243792;248672;251491;270893
454	2	160840000	162080000	107	115221;136560;153246;153250;232337;263948
455	2	162000000	163240000	107	78098;115233;115263;115267;115271;136535;136560;144290;184611;197635;221590;224674;225813;226121;226946;227403;231445;232320;233397;234732;235716;253046
456	2	163160000	165560000	107;108	82438;115267;115271;115290;182263;184611;224331;226847;229641;230282;237844;264074;277998
457	2	165480000	165865000	108	82438;169507;224331
458	2	165800000	167360000	108	115339;123607;136531;136546;144285;153253;169432;169507;178662;221234;229195;232411;233204;235192;283657
459	2	167280000	169080000	108	136546;163092;172318;198648;214211;225182;228222
460	2	169000000	169880000	108;109	73734;152253;152254;163072;172292;198648;238259;265694
461	2	169800000	170775000	109	73734;73737;81479;138382;138385;138398;138399;144357;144362;154479;163093;213160;214369;226072;229827;231550;235995;239474;251569
462	2	170640000	171800000	109	71909;115806;128683;128692;138382;138385;144357;204334;204335;214369;214821;222033;227176;234350;239467;266020
463	2	171760000	172400000	109	71967;115806;115827;123600;198586;224553;228507;233762;234061;266020
464	2	172360000	173040000	109	71967;77380;115840;115844;128708;144355;172878;233762;233934;236651;268821
465	2	173000000	173640000	109	91409;91428;152256;230104;232555
466	2	173600000	174225000	109	91428;91436;144354;231735;232292;236391;265709
467	2	174120000	175340000	109	91436;138430;138433;144306;144354;163328;172845;213148;217236;224638;226131;227180;231453;231735;234415;235414;236391;236832;237016;237617;237804;260868;268241;270460;270799;271151;273258
468	2	175280000	176000000	109	115935;115966;128656;138435;144306;163328;179997;226853;227187;235655;266510
469	2	175880000	176975000	109	115966;128710;128713;128714;144320;154518;170178;174279;215973;216193;221347;223976;227187;229066;229779;233131;266510
470	2	176920000	177640000	109	128645;128652;128654;128709;128710;128713;128714;163364;170166;170178;174279;175879;207744;216193;218175;221304;224577;226363;229434;230384;230552;236231;237260;265186;272551;278500
471	2	177520000	178065000	109;110	213069;223777;224577;226273;227098;230552;236501;237053
472	2	178000000	178960000	110	18510;116044;128655;170144;196659;197557;213069;213962;225808;226273;229744;236501;237178;263721;265396;284741
473	2	178880000	179400000	110	79150;79156;116095;128655;155636;155657;180228;204311;227241;229744;238082;284741
474	2	179320000	180280000	110	79150;116095;155657;163492;187231;204311;231541;237477;237964;238082;271141;271401
475	2	180240000	180720000	110;111	144331;213126;237964
476	2	180640000	181960000	111	144331;163510;170035;213126;221240;225258;226564;236667;238171;264976;270289;281131
477	2	181910000	182615000	111	115232;162992;170035;188452;223873;225570;226681;234663;238171;266705
478	2	182560000	183040000	111;112	115252;138434;150722;213958;265129
479	2	183000000	183600000	112	77232;115252
480	2	183560000	184080000	112	61676;77232;162998;162999;163002;231203;232430;272800
481	2	184000000	185560000	112	163002;170396;177855;213120;234172;266808;272800
482	2	185440000	186160000	112	170396;237824
483	2	186080000	187720000	112	65548;138448;144369;163012;188738;213953;224019;224323;225406;226410;227692;232568;237877;259915;268846
484	2	187640000	188360000	112	3436;64989;163012;226553;231739
485	2	188320000	189440000	112;113	3436;144366;207951;213115;231689;235616;252004
486	2	189375000	189960000	112;113	144366;168542;174325;204262;221502
487	2	189910000	190560000	113	115368;138381;138449;151687;204262;213601;233996;264725;266817;276828
488	2	190480000	191175000	113	64933;128694;128699;138379;138381;151687;187699;198130;204253;213110;223824;231145;238641;276828
489	2	191110000	191940000	113;114	115415;115419;138378;138386;151689;151690;189362;198130;229023
490	2	191880000	192440000	113;114	115415;128641;138378;227542;230611
491	2	192400000	193120000	114	144339;168497;173559;213946
492	2	193040000	194565000	114	144339;226242;227418;229395;232227;232658;235218
493	2	194480000	195320000	114	215043;224219;224670;225394;225539;236695;260142
494	2	195240000	195800000	114	225394;225539;230173;264560
495	2	195720000	196240000	114	235056
496	2	196160000	196960000	114	118997;196950;203435;213107;223466;224099;227878;234919;271893
497	2	196920000	197650000	114;115	81320;118997;119041;138411;144395;227878
498	2	197600000	198640000	115	65413;115520;115524;115540;115541;119041;144381;144395;152430;162944;187944;197121;213104;224442;225636;230482;231699;247626;270757
499	2	198560000	199175000	115	115896;152430;236653;237035;247626
500	2	199120000	200800000	115	115896;119042;162971;178074;213938;225421;226124;227004;230407;231557;236653;238217;252511
501	2	200760000	201760000	115	13441;82153;138356;155729;162971;162972;163535;178074;196141;196290;221530;224346;237166;240344;243478;244301;264798
502	2	201685000	202100000	115	3400;3402;13441;64012;82153;115942;119013;155744;196290;221530;224346;224672;225695;225796;226658;227348;232133;232719;235318;235579;240344
503	2	202050000	202640000	115	3393;3400;64012;82126;82146;115993;155749;155754;155755;213090;224299;224590;225796;227348;227736;227841;230799;234731;234842;235318;241790;249177
504	2	202550000	203400000	115;116	3393;55044;82126;116030;138395;155760;182329;204217;221374;221489;223825;224463;226261;227890;230799;231124;236047;267889;270915;272966;273209;273456
505	2	203320000	204200000	116	119004;138380;138439;138442;138443;144426;163596;204196;204217;223619;225124;227454;228513;232479;232994;233134;233311;233579;233888;235433;236047;237542;238285;240761;241221;270664;270915
506	2	204080000	204800000	116	119004;138443;144426;163599;173166;178562;211573;213925;224791;233031;233459;238285
507	2	204760000	206920000	116;117	114933;116117;118257;163600;213739;223890;225304;234714;235951;236634;236681;237041;237271;237843
508	2	206840000	208600000	117	23228;114933;114942;114948;118246;118260;118263;138400;144401;144410;159186;163249;180105;183671;204186;213082;213083;221628;223433;224070;224137;224342;225064;225916;227946;229321;229647;232125;234491;234902;235118;237041;237580;240440;253008;260171;263468;269633
509	2	208520000	209200000	117;118	115020;118231;138413;163249;163251;163254;168582;178385;182187;185078;188674;213082;224137;224529;224839;228111;228380;229150;233869;263524;264900
510	2	209160000	210200000	118	115020;144407;213081;227430;229670;232409;232799;235864;240286;265454
511	2	210125000	210880000	118	78018;144406;197713;237194
512	2	210800000	211160000	118	115361;144406;144445;168530;197713;231063;263530
513	2	211080000	212025000	118	21826;115361;115365;168530;271074
514	2	211920000	212615000	118	178568;231017;271074
515	2	212535000	213520000	118	178568;221782;232631;236007
516	2	213480000	214100000	118	30419;221388;223373;231254;234308;236193;266354;270659
517	2	214040000	214760000	118	144451;196096;265734;272519
518	2	214640000	216215000	118;119	138363;138376;144451;144452;174453;177261;213917;230076;237571
519	2	216160000	217000000	119	79246;115414;115425;118242;138363;163449;212055;216721;225166;226276;227824;227981;228618;230838;234938;235770;237525
520	2	216935000	217400000	119	79246;115425;138375;144583;163449;197756;232970;236478;260804
521	2	217320000	218650000	119	115457;115461;118245;138375;197756;223874;224414;225794;227021;229352;231035;231672;233143;234588;235444;236295;237930;251849;259855
522	2	218610000	219120000	119	79308;163464;163466;180871;188282;224159;229754;231035;231672
523	2	219040000	219880000	119	18280;74582;115556;115568;115592;115596;127831;127837;127838;135912;135913;135925;135926;135929;144579;144580;158428;163466;163481;163482;163497;163499;171450;179921;181378;198973;199121;224159;224928;230580;232625;272555
524	2	219810000	220480000	119	54356;72182;72195;115649;115657;115661;123989;123992;123999;124006;127824;135924;144567;144589;144591;158552;163497;163499;163501;163516;163521;171450;175084;181378;182698;187736;188760;198925;198973;207647;213901;221344;224928;232789;243910;264755;265252;272644;280537
525	2	220400000	222890000	119;120	72182;114923;116106;123989;123999;124006;144589;188760;221199;221432;222096;223903;224819;225911;226666;226726;227308;228909;230406;231802;232089;233868;234446;235337;236451;239498;265252;266518;267919
526	2	222840000	223520000	120	116120;135903;163081;163082;226331;228670;234285;237732;267034
527	2	223480000	223800000	120	116120;123983;124003;203531;224121;233751;235225;265621
528	2	223760000	224840000	120	85449;123983;135900;135919;152049;152056;171951;224121;226539;231189;233299;235610;265621;278083
529	2	224785000	225200000	120	85449;135900;135919;211987;224826;228681
530	2	225160000	225640000	120;121	36257;124019;135905;228446;228681;283428
531	2	225560000	226525000	121;122	135905;144460;263828;283428
532	2	226480000	228240000	122	81052;144460;144468;168955;168958;169031;169047;221608;228206;230621;235070;263363;272622;273301
533	2	228160000	228750000	122	42304;115009;123977;135917;168955;168958;169031;173744;183514;226718;229172;266382;284635;284643;284667;284704;284718;284725
534	2	228680000	229550000	122	115009;123977;153820;183514;203387;228226;232023
535	2	229480000	230640000	122	153823;153827;187957;226297;228226;235993;237322
536	2	230600000	231920000	122;123	67066;79263;135898;135899;135916;135932;153827;153832;163053;173699;183022;185404;204128;226125;235013;237758;238062;250011;270891;283451
537	2	231800000	232475000	123	115053;135898;135914;135931;156966;171596;172799;173692;173699;177673;181798;204128;228884;230047;231494;233538;235013;237039;238062;263641;263774;283491
538	2	232360000	233400000	123	135902;144524;144535;156973;163273;163283;163286;163295;171551;171596;177673;181798;187514;204121;207626;222246;223788;228884;230122;231494;237087;237412;237641;244280;251485;260622;269363;275157;283491
539	2	233360000	234800000	123	66248;77044;85978;85982;115468;115474;115488;123485;130561;135902;135930;167165;168918;178836;182600;185038;196811;204120;213055;221944;224287;227802;227846;228445;228949;233445;234143;237412;240224;241119;241635;242366;242515;243135;244122;244474;248114;248705;266620;271639
540	2	234710000	235450000	123	72080;123485;144481;185038;188042;224287;226442;228162;231682;232690;237784;261298
541	2	235400000	236065000	123;124	130147;188042;226542;231032;278593;280744
542	2	236000000	236715000	124	157985;216002;221704;231032;235293
543	2	236640000	237150000	124	157985;168505;182177;228499
544	2	237080000	238040000	124;125	132321;144476;182177;198612;224844;231546;232328
545	2	238000000	238720000	125	71677;115648;124831;124839;163359;177483;198612;222022;222032;224132;224844;227107
546	2	238640000	239225000	125	124831;132323;132326;132329;132330;144485;144488;168427;177483;178752;184182;232306;258984;268396
547	2	239160000	239940000	125	65802;132326;204104;211566;224252;225493;226992;227744;232306;233608;234279;268396
548	2	239840000	241150000	125	68024;130414;172428;178586;178602;182083;196758;211566;213828;220256;227459;227744;231278;259889;263743;264103;264279;264292;264518;264730;264810;265215;265332;265416;265891;265979;266109;266360;267963
549	2	241080000	241520000	125	63660;142327;144504;178602;188542;207611;221412;227479
550	2	241450000	241800000	125	130294;142327;142330;144504;178623;184945;185176;188542;219159;268822;276949
551	2	241735000	243199373	125	6607;115677;115685;115687;115694;122085;130294;146205;154252;162804;168385;168393;168395;168397;172478;172482;176720;176946;180902;188011;188389;204099;216921;220804;224160;224232;226321;226423;232002;235151;235861;237940;244528;263752;266621;268485;273113
552	2	243159373	243199373	125	-1
553	3	1	90000	126	223587
554	3	40000	425000	126	134121;223587;224918;231660
555	3	385000	2160000	126	134115;134121;144619;184423;214073;214074;224239;224957;225044;227588;232563;235158;238075
556	3	2120000	3200000	126;127	72756;91181;113851;144619;225310;227588;230398
557	3	3160000	4160000	127;128	72756;91181;113851;144455;175928;223036;223727;229241
558	3	4080000	4360000	128	144455;170364
559	3	4320000	4715000	128	144455;150995;170364;234325
560	3	4640000	5290000	128	134107;134108;134109;150995;224082;230182;235947;237566
561	3	5240000	6960000	128	134109;189229;196277;223719;226022;226258;229642;230944;232958;236152;265180
562	3	6880000	8480000	128	196277;228351;231401;266293
563	3	8435000	9000000	128;129	70950;71282;125046;180914;182533;215160;224884;264097;265169;265330;266275;266778
564	3	8920000	9440000	129	70950;134077;168137;196220;214041;235830
565	3	9360000	10375000	129	114026;125037;134070;134072;134077;134086;144550;144554;156959;156983;156990;157014;157017;157020;157087;163701;163702;163703;163704;163705;163719;168137;171135;171148;180385;186162;187288;196220;206567;214021;214041;229217;232901;235338;241553;250151;254999;264534;266001;272410
566	3	10320000	11400000	129	132164;157014;157017;157020;157087;157103;196639;197548;213964;216135;226567;226621;230599;239167;264534;272410
567	3	11160000	11960000	129;130	144559;144560;196639;197548;213964;224263;225275;226621;230342;231897;235240;251038;270531
568	3	11880000	12920000	130	75975;88726;132155;132170;144559;144712;144713;154743;157150;157152;213943;224263;225026;225275;225526;226642;230342;231897;232746;233026;233252;236062;250939;251038;265870
569	3	12840000	13565000	130;131	132182;144711;144712;144713;163517;223398;231362;232746;238138;250939
570	3	13480000	14720000	131	131379;131389;144596;154764;154767;154781;163517;163520;163528;170860;170876;180438;223398;234123;238138;238827;251576;255021;265457;268279;275340;283392
571	3	14650000	15160000	131	131368;131379;131381;154781;154783;177463;260902;283392
572	3	15120000	15625000	131	131370;131373;131375;131381;144597;206561;206562;221424;226427;227578;228874;230524;263573
573	3	15520000	16325000	131	131373;131386;154813;154814;169814;206560;206561;207815;224728;263573;264354;270409;270739
574	3	16280000	17320000	131;132	92345;131374;131378;154813;154814;154822;224039;229271;233570;252976;264034;264818;269391;270739
